,dt,new_users_count,day_after_install,retained_users_count,retention
256,2020-01-24,85,30.0,2.0,0.023529411764705882
257,2020-01-24,85,35.0,1.0,0.011764705882352941
258,2020-01-24,85,37.0,1.0,0.011764705882352941
259,2020-01-24,85,42.0,3.0,0.03529411764705882
260,2020-01-24,85,46.0,1.0,0.011764705882352941
261,2020-01-24,85,54.0,1.0,0.011764705882352941
262,2020-01-24,85,92.0,1.0,0.011764705882352941
263,2020-01-24,85,94.0,1.0,0.011764705882352941
264,2020-01-24,85,95.0,1.0,0.011764705882352941
265,2020-01-24,85,97.0,3.0,0.03529411764705882
266,2020-01-24,85,98.0,1.0,0.011764705882352941
267,2020-01-24,85,99.0,1.0,0.011764705882352941
268,2020-01-24,85,100.0,4.0,0.047058823529411764
269,2020-01-24,85,103.0,2.0,0.023529411764705882
270,2020-01-24,85,104.0,3.0,0.03529411764705882
271,2020-01-24,85,109.0,1.0,0.011764705882352941
272,2020-01-24,85,110.0,2.0,0.023529411764705882
273,2020-01-24,85,111.0,3.0,0.03529411764705882
274,2020-01-24,85,112.0,2.0,0.023529411764705882
275,2020-01-24,85,113.0,1.0,0.011764705882352941
276,2020-01-24,85,114.0,2.0,0.023529411764705882
277,2020-01-24,85,117.0,2.0,0.023529411764705882
278,2020-01-24,85,119.0,1.0,0.011764705882352941
279,2020-01-24,85,120.0,1.0,0.011764705882352941
280,2020-01-24,85,121.0,1.0,0.011764705882352941
281,2020-01-24,85,126.0,2.0,0.023529411764705882
282,2020-01-24,85,127.0,3.0,0.03529411764705882
283,2020-01-24,85,128.0,1.0,0.011764705882352941
284,2020-01-24,85,131.0,4.0,0.047058823529411764
285,2020-01-24,85,132.0,1.0,0.011764705882352941
286,2020-01-24,85,133.0,1.0,0.011764705882352941
287,2020-01-24,85,134.0,1.0,0.011764705882352941
288,2020-01-24,85,135.0,1.0,0.011764705882352941
289,2020-01-24,85,138.0,1.0,0.011764705882352941
290,2020-01-24,85,145.0,1.0,0.011764705882352941
291,2020-01-24,85,146.0,1.0,0.011764705882352941
292,2020-01-24,85,147.0,1.0,0.011764705882352941
293,2020-01-24,85,148.0,1.0,0.011764705882352941
294,2020-01-24,85,149.0,1.0,0.011764705882352941
295,2020-01-24,85,151.0,1.0,0.011764705882352941
296,2020-01-24,85,152.0,2.0,0.023529411764705882
297,2020-01-24,85,154.0,1.0,0.011764705882352941
298,2020-01-25,75,1.0,9.0,0.12
299,2020-01-25,75,2.0,4.0,0.05333333333333334
300,2020-01-25,75,3.0,2.0,0.02666666666666667
301,2020-01-25,75,4.0,2.0,0.02666666666666667
302,2020-01-25,75,5.0,2.0,0.02666666666666667
303,2020-01-25,75,9.0,3.0,0.04
304,2020-01-25,75,10.0,1.0,0.013333333333333334
305,2020-01-25,75,11.0,1.0,0.013333333333333334
306,2020-01-25,75,12.0,1.0,0.013333333333333334
307,2020-01-25,75,18.0,1.0,0.013333333333333334
308,2020-01-25,75,20.0,1.0,0.013333333333333334
309,2020-01-25,75,26.0,1.0,0.013333333333333334
310,2020-01-25,75,30.0,1.0,0.013333333333333334
311,2020-01-25,75,39.0,1.0,0.013333333333333334
312,2020-01-25,75,43.0,1.0,0.013333333333333334
313,2020-01-25,75,71.0,1.0,0.013333333333333334
314,2020-01-25,75,80.0,1.0,0.013333333333333334
315,2020-01-25,75,86.0,1.0,0.013333333333333334
316,2020-01-25,75,92.0,1.0,0.013333333333333334
317,2020-01-25,75,93.0,1.0,0.013333333333333334
318,2020-01-25,75,94.0,2.0,0.02666666666666667
319,2020-01-25,75,95.0,1.0,0.013333333333333334
320,2020-01-25,75,99.0,1.0,0.013333333333333334
321,2020-01-25,75,100.0,1.0,0.013333333333333334
322,2020-01-25,75,103.0,1.0,0.013333333333333334
323,2020-01-25,75,104.0,1.0,0.013333333333333334
324,2020-01-25,75,105.0,1.0,0.013333333333333334
325,2020-01-25,75,106.0,1.0,0.013333333333333334
326,2020-01-25,75,107.0,1.0,0.013333333333333334
327,2020-01-25,75,108.0,1.0,0.013333333333333334
328,2020-01-25,75,109.0,1.0,0.013333333333333334
329,2020-01-25,75,111.0,2.0,0.02666666666666667
330,2020-01-25,75,112.0,2.0,0.02666666666666667
331,2020-01-25,75,113.0,2.0,0.02666666666666667
332,2020-01-25,75,114.0,2.0,0.02666666666666667
333,2020-01-25,75,115.0,2.0,0.02666666666666667
334,2020-01-25,75,116.0,1.0,0.013333333333333334
335,2020-01-25,75,117.0,2.0,0.02666666666666667
336,2020-01-25,75,118.0,6.0,0.08
337,2020-01-25,75,119.0,3.0,0.04
338,2020-01-25,75,120.0,1.0,0.013333333333333334
339,2020-01-25,75,121.0,1.0,0.013333333333333334
340,2020-01-25,75,122.0,1.0,0.013333333333333334
341,2020-01-25,75,123.0,1.0,0.013333333333333334
342,2020-01-25,75,124.0,1.0,0.013333333333333334
343,2020-01-25,75,127.0,3.0,0.04
344,2020-01-25,75,131.0,2.0,0.02666666666666667
345,2020-01-25,75,134.0,1.0,0.013333333333333334
346,2020-01-25,75,136.0,1.0,0.013333333333333334
347,2020-01-25,75,139.0,1.0,0.013333333333333334
348,2020-01-25,75,140.0,1.0,0.013333333333333334
349,2020-01-25,75,141.0,1.0,0.013333333333333334
350,2020-01-25,75,144.0,2.0,0.02666666666666667
351,2020-01-25,75,146.0,1.0,0.013333333333333334
352,2020-01-25,75,147.0,1.0,0.013333333333333334
353,2020-01-25,75,148.0,1.0,0.013333333333333334
354,2020-01-25,75,149.0,1.0,0.013333333333333334
355,2020-01-25,75,151.0,1.0,0.013333333333333334
356,2020-01-26,68,1.0,5.0,0.07352941176470588
357,2020-01-26,68,2.0,2.0,0.029411764705882353
358,2020-01-26,68,3.0,2.0,0.029411764705882353
359,2020-01-26,68,4.0,3.0,0.04411764705882353
360,2020-01-26,68,6.0,2.0,0.029411764705882353
361,2020-01-26,68,7.0,1.0,0.014705882352941176
362,2020-01-26,68,8.0,3.0,0.04411764705882353
363,2020-01-26,68,9.0,1.0,0.014705882352941176
364,2020-01-26,68,12.0,1.0,0.014705882352941176
365,2020-01-26,68,14.0,3.0,0.04411764705882353
366,2020-01-26,68,15.0,2.0,0.029411764705882353
367,2020-01-26,68,20.0,1.0,0.014705882352941176
368,2020-01-26,68,26.0,2.0,0.029411764705882353
369,2020-01-26,68,29.0,2.0,0.029411764705882353
370,2020-01-26,68,31.0,1.0,0.014705882352941176
371,2020-01-26,68,37.0,1.0,0.014705882352941176
372,2020-01-26,68,40.0,1.0,0.014705882352941176
373,2020-01-26,68,50.0,1.0,0.014705882352941176
374,2020-01-26,68,52.0,1.0,0.014705882352941176
375,2020-01-26,68,54.0,1.0,0.014705882352941176
376,2020-01-26,68,56.0,1.0,0.014705882352941176
377,2020-01-26,68,63.0,1.0,0.014705882352941176
378,2020-01-26,68,66.0,1.0,0.014705882352941176
